title,time,desc,image-dir,github,project,used-tools
Delikat Flora,2025,A database driven website for a fictional flower boutique with large focus on their flower delivery service,delikat_flora.jpg,https://github.com/NTIG-Uppsala/Delikat-Flora,https://delikat.ntig.dev/,Python HTML    CSS JavaScript  Supabase    Express.js
Fjellporten,2025,A database driven website for a fictional car-rental company,fjellporten.jpg,https://github.com/NTIG-Uppsala/Fjellporten,https://fjellporten.ntig.dev/,Python  HTML    CSS JavaScript  Supabase    Express.js
